V2,V7,V8,V9,V10,gid,project,psid,PID,K2,wave,gc,term,lang,hilow,incent,Q_Language,cguess,Q_TotalDuration,med,Q19_1,D1,D2,D3,Q1,Q2,Q8,Q5,Q6,Q7,Q9,Quiz.1.Correct,Quiz.2.Correct,Quiz.3.Correct,Quiz.4.Correct,Quiz.5.Correct,Quiz.6.Correct,Q10_1,Q12,Q18_1,Q13,Q14,Q15#1_1,Q15#1_2,Q15#1_3,Q15#1_4,Q15#1_5,Q15#1_6,Q15#1_7,Q15#1_8,Q15#1_9,Q15#1_10,Q15#1_11,Q15#1_12,Q15#1_13,Q15#1_14,Q15#1_15,Q16,Q22,Q23,Q24,Q27,Q29,Q28,Q31,Q29,Q30,Q32_1,Q32_2,Q32_3,Q32_4,DO-BR-FL_180,DO-BR-FL_169,DO-BR-FL_183,DO-BR-FL_23,DO-BR-FL_186,DO-BR-FL_31,DO-BR-FL_189,DO-BR-FL_47,DO-BR-FL_192,DO-BR-FL_43,DO-BR-FL_195,DO-BR-FL_39,DO-BR-FL_198,DO-BR-FL_35,DO-BR-FL_19,DO-BR-FL_8,DO-BR-FL_263,DO-BR-FL_254,DO-BR-FL_236,DO-BR-FL_227,DO-BR-FL_160,DO-BR-FL_150,DO-BR-FL_130,DO-BR-FL_120,DO-BR-FL_100,DO-BR-FL_89,DO-Q-Q15,LocationAccuracy
Default Response Set,0,07/07/2015 20:09,07/07/2015 20:09,1,UK200012,Qual12-1114CountriesUKUS,,,,2,2,NoConsent,,,,EN,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
Default Response Set,0,07/07/2015 20:02,07/07/2015 20:10,1,PT200002,Qual12-1114CountriesUKUS,,,,2,1,,PT,3,no,PT,República da Coreia,496,{Expressão inválida},1,2,2,137,1,Beethoven,Stefani,Dale Crover,1862,3,Indiana,1,1,1,1,1,0,1,1,1,1,1,4,3,2,5,5,3,1,4,4,4,1,4,4,4,2,100,,,3,1,1,,4,8,,1,2,1,1,,,,,,,FL_191,Coin flip|Quiz,,,,,,,FL_21,,,,FL_238,,,,,,,,11|15|5|3|7|4|1|12|8|6|9|2|14|10|13,-1
Default Response Set,0,07/07/2015 20:05,07/07/2015 20:10,1,UK200003,Qual12-1114CountriesUKUS,,,,2,1,,EN,3,yes,EN,Portugal,293,{Invalid Expression},1,1,5,183,1,Wagner,Jenny,Dave Grohl,1888,3,Atlanta. Georgia.,0,0,1,0,1,0,1,1,1,1,1,4,4,2,1,3,4,4,4,4,4,4,4,4,3,4,50,1,Welsh,3,5,4,15000,4,7,1,2,2,2,2,,,,,FL_188,Quiz|Coin flip,,,,,,,,,FL_20,FL_12,,,,,,,,,,,3|11|10|9|7|13|15|6|14|2|8|1|12|4|5,-1
Default Response Set,0,07/07/2015 20:06,07/07/2015 20:10,1,KR200001,Qual12-1114CountriesUKUS,,,,2,1,,KO,3,yes,KO,인도,236,{유효하지 않은 수식},1,1,3,139,1,모르겠습니다,모르겠습니다,모르겠습니다,모르겠습니다,모르겠습니다,모르겠습니다,,0,0,0,0,0,1,1,1,1,2,4,4,4,2,3,4,4,4,3,4,3,5,4,3,5,60,1,대한민국,1,1,1,100,1,7,1,2,2,1,2,,,FL_185,Coin flip|Quiz,,,,,,,,,,,FL_20,,,,,FL_228,,,,,,,2|4|9|10|15|3|8|1|11|12|6|7|14|13|5,-1
Default Response Set,0,07/07/2015 20:05,07/07/2015 20:11,1,DK200001,Qual12-1114CountriesUKUS,,,,2,1,,DA,3,no,DA,sydafrika,316,{Invalid Expression},1,2,2,48,1,Ved ikke,Ved ikke,Ved ikke,Ved ikke,Ved ikke,Ved ikke,0,0,0,0,0,0,1,1,1,1,1,4,4,2,2,4,3,3,4,3,4,4,4,3,2,4,50,,Dansk,3,1,1,6000,4,8,1,2,2,1,2,,,,,,,,,,,FL_197,Quiz|Coin flip,,,FL_21,,FL_270,,,,,,,,,,13|5|2|4|6|14|10|8|3|9|12|15|11|1|7,-1
Default Response Set,0,07/07/2015 19:57,07/07/2015 20:11,1,AR200009,Qual12-1114CountriesUKUS,,,,2,1,,ES,5,no,ES,República de Corea,820,{Expresión no válida},1,2,5,7,1,richard clayderman,Judy,John,1965,10,Texas,0,0,0,0,0,0,1,1,1,1,1,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,50,,Argentina,2,2,3,10000,1,5,1,2,2,2,2,,,,,,,,,FL_193,Coin flip|Quiz,,,,,FL_21,,,FL_256,,,,,,,,,3|10|9|1|4|12|2|14|7|5|11|13|6|8|15,-1
Default Response Set,0,07/07/2015 20:05,07/07/2015 20:11,1,AR200020,Qual12-1114CountriesUKUS,,,,2,1,,ES,3,yes,ES,Portugal,366,{Expresión no válida},1,1,3,7,1,Beethoven,Stefani,Dave Grohl,1862,cuatro,New York,1,1,1,1,0,0,1,1,1,1,2,4,4,3,5,3,4,5,4,4,4,4,4,4,2,4,99,1,Argentino,2,1,1,20000,3,7,2,2,1,1,2,,,,,,,,,FL_194,Quiz|Coin flip,,,,,FL_20,,,FL_258,,,,,,,,,7|11|9|12|2|10|4|6|1|14|5|13|3|15|8,-1
Default Response Set,0,07/07/2015 20:05,07/07/2015 20:11,1,UK200002,Qual12-1114CountriesUKUS,,,,2,1,,EN,3,yes,EN,South Africa,370,{Invalid Expression},1,1,5,183,1,,,,,4,,0,0,0,0,0,0,1,1,1,1,2,2,4,2,2,3,4,4,4,4,4,4,3,3,2,2,65,1,irish,1,2,3,2100,1,3,1,2,2,2,1,,,,,FL_188,Quiz|Coin flip,,,,,,,,,FL_20,FL_15,,,,,,,,,,,9|2|12|7|6|8|11|13|15|4|10|3|14|1|5,-1
Default Response Set,0,07/07/2015 19:56,07/07/2015 20:12,1,AR200003,Qual12-1114CountriesUKUS,,,,2,1,,ES,3,yes,ES,Dinamarca,925,{Expresión no válida},1,2,2,7,1,beethoven,Stefani Germanotta,Dave Gronl,1862,Nose,"Gary - Indiana , EEUU",1,1,0,1,0,1,1,1,1,1,1,4,4,4,3,3,4,2,3,4,4,3,4,4,3,2,85,1,Argentina,3,1,3,2000,4,6,2,2,1,1,2,,,,,,,,,FL_194,Coin flip|Quiz,,,,,FL_20,,,FL_260,,,,,,,,,7|1|2|9|3|10|12|4|5|6|15|14|8|13|11,-1
Default Response Set,0,07/07/2015 20:05,07/07/2015 20:12,1,UK200005,Qual12-1114CountriesUKUS,,,,2,1,,EN,5,yes,EN,Portugal,406,{Invalid Expression},1,2,5,183,1,,,,,,,0,0,0,0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,1,british,2,2,1,0,2,7,2,2,2,2,2,,,,,FL_187,Coin flip|Quiz,,,,,,,,,FL_20,FL_12,,,,,,,,,,,8|6|9|1|3|7|4|10|15|12|11|5|14|2|13,-1
Default Response Set,0,07/07/2015 20:02,07/07/2015 20:12,1,PT200001,Qual12-1114CountriesUKUS,,,,2,1,,PT,5,no,EN,Republic of Korea,633,{Invalid Expression},1,1,3,137,1,Beethoven,Stefani,Dave Grohl,1862,3,Los Angeles California,1,1,1,1,1,0,1,1,1,1,1,4,3,2,3,3,4,2,3,4,3,3,4,4,2,3,90,,,3,1,1,2500,3,1,1,2,2,1,2,,,,,,,FL_190,Quiz|Coin flip,,,,,,,FL_21,FL_11,,,,,,,,,,,9|10|4|7|3|11|8|13|14|6|15|12|2|5|1,-1
Default Response Set,0,07/07/2015 20:08,07/07/2015 20:12,1,UK200007,Qual12-1114CountriesUKUS,,,,2,1,,EN,5,no,EN,United Kingdom of Great Britain and Northern Ireland,272,{Invalid Expression},1,2,3,183,1,,,,,,,0,0,0,0,0,0,1,1,1,1,1,2,3,2,4,4,3,4,1,2,2,3,3,2,2,2,50,,british,3,1,1,22000,2,7,2,1,1,1,1,,,,,FL_187,Quiz|Coin flip,,,,,,,,,FL_21,FL_9,,,,,,,,,,,12|9|3|2|15|5|7|14|10|4|13|6|11|8|1,-1
Default Response Set,0,07/07/2015 20:07,07/07/2015 20:12,1,AR200022,Qual12-1114CountriesUKUS,,,,2,1,,ES,5,no,ES,Reino Unido de Gran Bretaña e Irlanda del Norte,348,{Expresión no válida},1,2,3,7,1,No se,No se,No se,No se,7,nueva jersey,0,0,0,0,0,0,1,1,1,1,2,4,4,4,2,4,4,3,4,4,4,4,4,4,3,4,90,,Argentina,2,2,1,20000,2,7,2,2,2,1,2,,,,,,,,,FL_193,Coin flip|Quiz,,,,,FL_21,,,FL_257,,,,,,,,,14|10|8|11|15|4|12|5|7|6|1|13|3|9|2,-1
Default Response Set,0,07/07/2015 20:09,07/07/2015 20:13,1,UK200014,Qual12-1114CountriesUKUS,,,,2,1,,EN,3,no,EN,United Kingdom of Great Britain and Northern Ireland,213,{Invalid Expression},1,1,3,183,1,Beethoven,John,Dave Grohl,1945,3,Dont know,1,0,1,0,1,0,1,1,1,1,1,4,4,3,2,2,2,2,4,4,4,4,4,2,3,3,50,,English,3,1,1,1900,4,7,1,2,2,1,2,,,,,FL_188,Coin flip|Quiz,,,,,,,,,FL_21,FL_9,,,,,,,,,,,14|15|5|12|6|8|7|1|11|10|13|9|2|4|3,-1
Default Response Set,0,07/07/2015 20:01,07/07/2015 20:13,1,AR200015,Qual12-1114CountriesUKUS,,,,2,1,,ES,5,no,ES,Argentina,679,{Expresión no válida},1,1,3,7,1,bethoven,,Aaron Burkhard,,,"Gary, Indiana",1,0,1,0,0,1,1,1,1,1,1,4,4,2,4,3,4,2,3,4,4,3,5,4,3,4,70,,Argentina,2,1,1,25000,3,7,2,2,2,1,1,,,,,,,,,FL_193,Coin flip|Quiz,,,,,FL_21,,,FL_259,,,,,,,,,13|8|12|5|7|15|10|11|3|9|2|1|6|4|14,-1
Default Response Set,0,07/07/2015 20:05,07/07/2015 20:13,1,UK200001,Qual12-1114CountriesUKUS,,,,2,1,,EN,3,no,EN,Denmark,455,{Invalid Expression},1,2,4,183,1,Beethoven,Stephanie,Dave Grohl or Chad Channing..or Dale Crover...Nirvana have had loads of drummers!,1862,3,"Gary, Indiana",1,1,1,1,1,1,1,1,1,1,2,4,2,3,2,2,4,2,4,3,4,3,3,3,3,3,45,,British,3,2,2,37000,3,1,1,2,2,2,2,,,,,FL_188,Quiz|Coin flip,,,,,,,,,FL_21,FL_14,,,,,,,,,,,7|4|2|9|12|10|14|5|6|3|13|11|15|8|1,-1
Default Response Set,0,07/07/2015 20:00,07/07/2015 20:13,1,AR200012,Qual12-1114CountriesUKUS,,,,2,1,,ES,5,no,ES,República de Corea,818,{Expresión no válida},1,1,3,7,1,Bethoven,Stefani Joanne Angelina Germanotta,Aaron Burckhard,1862,tres,"Gary, Indiana",1,1,1,1,1,1,1,1,1,1,2,4,4,4,1,3,4,4,4,4,4,4,4,4,3,4,30,,Argentino,1,2,4,17000,1,7,1,2,2,1,2,,,,,,,,,FL_193,Quiz|Coin flip,,,,,FL_21,,,FL_256,,,,,,,,,11|6|5|2|7|4|14|3|1|10|8|13|12|9|15,-1
Default Response Set,0,07/07/2015 20:03,07/07/2015 20:14,1,AR200018,Qual12-1114CountriesUKUS,,,,2,1,,ES,3,no,ES,Portugal,632,{Expresión no válida},1,2,3,7,1,beethoven,stefani,dave,1898,6,"gary, indiana",1,1,0,0,0,1,1,1,1,1,2,4,4,3,4,3,4,2,4,4,4,3,4,4,3,2,80,,argentina,2,1,2,18000,2,6,2,2,2,1,2,,,,,,,,,FL_194,Coin flip|Quiz,,,,,FL_21,,,FL_258,,,,,,,,,10|8|3|1|5|4|9|7|11|14|15|12|13|6|2,-1
Default Response Set,0,07/07/2015 20:09,07/07/2015 20:14,1,UK200013,Qual12-1114CountriesUKUS,,,,2,1,,EN,5,yes,EN,India,324,{Invalid Expression},1,1,6,183,1,Schumann,Maria,John Byron,1824,4,"Gary, Indiana",0,0,0,0,0,1,1,1,1,1,2,3,3,3,1,2,4,4,4,4,4,4,3,3,2,4,60,1,British,2,2,2,1000,3,1,1,2,2,2,2,,,,,FL_187,Coin flip|Quiz,,,,,,,,,FL_20,FL_10,,,,,,,,,,,10|15|9|6|8|13|2|7|5|4|1|12|3|14|11,-1
Default Response Set,0,07/07/2015 20:02,07/07/2015 20:14,1,AR200016,Qual12-1114CountriesUKUS,,,,2,1,,ES,3,yes,ES,Sudáfrica,714,{Expresión no válida},1,1,5,7,1,Beethoven,Stefani Joanne Angelina Germanotta,Dave Grohl,1862,3,"garay, Indiana",1,1,1,1,1,0,1,1,1,1,1,4,4,3,1,4,4,3,4,4,4,3,4,2,4,3,5,1,Argentina,1,2,1,20000,1,1,1,2,2,1,2,,,,,,,,,FL_194,Quiz|Coin flip,,,,,FL_20,,,FL_261,,,,,,,,,5|15|12|9|13|7|10|3|11|14|4|2|6|1|8,-1
Default Response Set,0,07/07/2015 20:11,07/07/2015 20:14,1,DK200002,Qual12-1114CountriesUKUS,,,,2,1,,DA,5,no,DA,Forenede Kongerige Storbritannien og Nordirland,222,{Invalid Expression},1,2,3,48,1,Mozart,Gabrielle,Jan Ulrick,1835,3,"Memphis, Tenesee",0,0,0,0,1,0,1,1,1,1,1,4,4,4,2,3,4,4,4,2,4,3,3,4,3,3,100,,Dansk,2,1,1,10000,2,8,1,2,2,2,1,,,,,,,,,,,FL_196,Quiz|Coin flip,,,FL_21,,FL_266,,,,,,,,,,8|9|12|5|15|10|1|7|3|4|6|11|2|14|13,-1
Default Response Set,0,07/07/2015 20:09,07/07/2015 20:14,1,UK200015,Qual12-1114CountriesUKUS,,,,2,1,,EN,3,yes,EN,South Africa,314,{Invalid Expression},1,1,4,183,1,dont know,dont know,dont know,dont know,8,dont know,0,0,0,0,0,0,1,1,1,1,2,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,90,1,british,2,2,3,"48,000",2,1,2,2,2,2,2,,,,,FL_188,Quiz|Coin flip,,,,,,,,,FL_20,FL_15,,,,,,,,,,,3|1|6|15|7|5|14|9|2|13|10|11|8|4|12,-1
Default Response Set,0,07/07/2015 20:05,07/07/2015 20:15,1,AR200019,Qual12-1114CountriesUKUS,,,,2,1,,ES,5,no,ES,India,579,{Expresión no válida},1,2,2,7,1,Ludwig van Beethoven,Stefani Joanne Angelina," Aaron Burckhard, ",1862,4,Gary indiana,1,1,1,1,0,1,1,1,1,1,1,4,4,4,3,4,4,2,4,4,4,4,4,4,4,3,60,,,2,2,3,"$8,000",1,6,2,2,1,1,1,,,,,,,,,FL_193,Coin flip|Quiz,,,,,FL_21,,,FL_255,,,,,,,,,2|7|1|6|12|14|3|8|13|10|11|15|4|9|5,-1
Default Response Set,0,07/07/2015 19:50,07/07/2015 20:15,1,IN200002,Qual12-1114CountriesUKUS,,,,2,1,,EN,5,yes,EN,Argentina,1477,{Invalid Expression},1,1,4,78,1,ludwig van beethoven,Stefani,Dave Grohl,1862,3,"gary, indiana",1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,80,1,indian,2,2,3,90000,2,7,2,2,2,1,1,FL_181,Coin flip|Quiz,,,,,,,,,,,,,FL_20,FL_13,,,,,,,,,,,1|8|14|3|5|10|9|13|15|6|12|7|2|11|4,-1
Default Response Set,0,07/07/2015 20:11,07/07/2015 20:16,1,PT200003,Qual12-1114CountriesUKUS,,,,2,1,,PT,5,yes,PT,Índia,269,{Expressão inválida},1,2,3,137,1,,,,,,,0,0,0,0,0,0,1,1,1,1,2,4,4,5,2,3,4,1,4,4,4,4,4,4,2,4,0,1,Portuguesa,2,1,1,450,3,7,2,2,2,2,2,,,,,,,FL_190,Coin flip|Quiz,,,,,,,FL_20,,,,FL_237,,,,,,,,11|10|4|8|1|14|9|5|12|2|13|15|6|7|3,-1
Default Response Set,0,07/07/2015 19:58,07/07/2015 20:17,1,AR200010,Qual12-1114CountriesUKUS,,,,2,1,,ES,3,yes,ES,Dinamarca,1127,{Expresión no válida},1,2,2,7,1,Vivaldi,Gergamota,Dave Grohl,1950,4,"Gary, Indiana",0,0,1,0,0,1,1,1,1,1,1,4,5,4,2,4,4,4,4,3,3,4,4,4,3,4,80,1,Argentina,1,1,1,200,1,1,1,2,2,1,2,,,,,,,,,FL_194,Coin flip|Quiz,,,,,FL_20,,,FL_260,,,,,,,,,3|1|12|2|10|4|9|14|15|8|11|13|7|5|6,-1
Default Response Set,0,07/07/2015 19:57,07/07/2015 20:17,1,AR200008,Qual12-1114CountriesUKUS,,,,2,1,,ES,5,no,ES,República de Corea,1205,{Expresión no válida},1,1,4,7,1,Beethoven,Stefani Germanotta,Dave Grohl,1862,6,"Gary, Indiana",1,1,1,1,0,1,1,1,1,1,1,2,3,3,1,3,3,3,3,3,3,2,3,3,3,3,50,,uruguaya,3,2,3,9000,2,1,2,1,1,1,1,,,,,,,,,FL_193,Quiz|Coin flip,,,,,FL_21,,,FL_256,,,,,,,,,1|4|11|6|9|5|14|10|3|15|8|12|2|7|13,-1
Default Response Set,0,07/07/2015 20:02,07/07/2015 20:17,1,AR200017,Qual12-1114CountriesUKUS,,,,2,1,,ES,3,yes,ES,Argentina,919,{Expresión no válida},1,1,3,7,1,beethoven,steffani,dave grohl,1862,3,"gary, indiana",1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,4,4,4,4,4,4,4,4,4,4,4,70,1,argentino,1,2,2,6000,2,1,1,2,2,2,2,,,,,,,,,FL_194,Quiz|Coin flip,,,,,FL_20,,,FL_259,,,,,,,,,1|13|7|11|8|12|2|4|15|5|14|3|10|9|6,-1
